date,username,text
2024-10-10,user_0,"Too many ads on SonyLIV, please fix."
2024-02-17,user_1,Buffering issues on Prime Video all the time.
2024-08-03,user_2,"Too many ads on Prime Video, please fix."
2024-01-05,user_3,The streaming on Hotstar is so smooth!
2024-10-06,user_4,Loved the new series on Netflix!
2024-04-12,user_5,Loved the new series on Hotstar!
2024-05-09,user_6,Hotstar has the best collection of shows.
2024-05-24,user_7,"Too many ads on Netflix, please fix."
2024-05-11,user_8,Loved the new series on SonyLIV!
2024-07-29,user_9,I might unsubscribe from Prime Video soon.
2024-01-06,user_10,Prime Video has the best collection of shows.
2024-03-30,user_11,The streaming on Netflix is so smooth!
2024-10-02,user_12,The streaming on Netflix is so smooth!
2024-03-14,user_13,Netflix app keeps crashing lately.
2024-09-18,user_14,The streaming on Prime Video is so smooth!
2024-03-20,user_15,Buffering issues on Netflix all the time.
2024-06-03,user_16,SonyLIV subscription cost is too high!
2024-07-11,user_17,Prime Video has the best collection of shows.
2024-04-24,user_18,SonyLIV has the best collection of shows.
2024-02-20,user_19,Prime Video subscription cost is too high!
2024-02-23,user_20,Buffering issues on Hotstar all the time.
2024-01-25,user_21,Hotstar app keeps crashing lately.
2024-06-29,user_22,I might unsubscribe from Netflix soon.
2024-09-05,user_23,"Too many ads on SonyLIV, please fix."
2024-05-12,user_24,The streaming on Prime Video is so smooth!
2024-07-17,user_25,Loved the new series on Netflix!
2024-09-16,user_26,"Too many ads on Prime Video, please fix."
2024-07-30,user_27,Hotstar app keeps crashing lately.
2024-01-09,user_28,SonyLIV has the best collection of shows.
2024-05-07,user_29,Hotstar has the best collection of shows.
2024-07-21,user_30,Loved the new series on Prime Video!
2024-02-29,user_31,Hotstar subscription cost is too high!
2024-09-12,user_32,SonyLIV subscription cost is too high!
2024-09-06,user_33,The streaming on Prime Video is so smooth!
2024-08-26,user_34,Loved the new series on Prime Video!
2024-03-30,user_35,The streaming on Prime Video is so smooth!
2024-03-22,user_36,"Too many ads on Netflix, please fix."
2024-01-21,user_37,I might unsubscribe from Prime Video soon.
2024-07-26,user_38,Buffering issues on Netflix all the time.
2024-02-05,user_39,I might unsubscribe from Hotstar soon.
2024-05-25,user_40,Hotstar subscription cost is too high!
2024-02-05,user_41,I might unsubscribe from Netflix soon.
2024-09-13,user_42,I might unsubscribe from SonyLIV soon.
2024-02-02,user_43,Buffering issues on SonyLIV all the time.
2024-08-05,user_44,Hotstar subscription cost is too high!
2024-09-22,user_45,Loved the new series on Netflix!
2024-01-03,user_46,I might unsubscribe from SonyLIV soon.
2024-01-14,user_47,The streaming on SonyLIV is so smooth!
2024-07-06,user_48,Buffering issues on SonyLIV all the time.
2024-09-07,user_49,The streaming on Netflix is so smooth!
2024-09-01,user_50,Prime Video has the best collection of shows.
2024-10-09,user_51,I might unsubscribe from Prime Video soon.
2024-03-04,user_52,SonyLIV app keeps crashing lately.
2024-03-04,user_53,Buffering issues on SonyLIV all the time.
2024-01-13,user_54,I might unsubscribe from Hotstar soon.
2024-07-28,user_55,I might unsubscribe from SonyLIV soon.
2024-08-14,user_56,Buffering issues on Hotstar all the time.
2024-06-14,user_57,Netflix has the best collection of shows.
2024-04-20,user_58,The streaming on Prime Video is so smooth!
2024-03-15,user_59,Hotstar app keeps crashing lately.
2024-06-03,user_60,Prime Video app keeps crashing lately.
2024-04-24,user_61,SonyLIV has the best collection of shows.
2024-03-09,user_62,Loved the new series on Hotstar!
2024-05-14,user_63,SonyLIV app keeps crashing lately.
2024-01-08,user_64,"Too many ads on Hotstar, please fix."
2024-08-23,user_65,Netflix app keeps crashing lately.
2024-07-20,user_66,"Too many ads on Prime Video, please fix."
2024-07-30,user_67,SonyLIV has the best collection of shows.
2024-06-26,user_68,"Too many ads on Netflix, please fix."
2024-10-18,user_69,SonyLIV subscription cost is too high!
2024-02-29,user_70,"Too many ads on SonyLIV, please fix."
2024-03-29,user_71,Buffering issues on SonyLIV all the time.
2024-07-31,user_72,SonyLIV app keeps crashing lately.
2024-10-26,user_73,The streaming on SonyLIV is so smooth!
2024-01-12,user_74,Hotstar app keeps crashing lately.
2024-06-09,user_75,I might unsubscribe from Netflix soon.
2024-02-06,user_76,SonyLIV app keeps crashing lately.
2024-07-12,user_77,I might unsubscribe from Netflix soon.
2024-01-15,user_78,I might unsubscribe from Netflix soon.
2024-05-30,user_79,Hotstar app keeps crashing lately.
2024-05-07,user_80,Buffering issues on Hotstar all the time.
2024-03-07,user_81,I might unsubscribe from Netflix soon.
2024-03-26,user_82,Prime Video app keeps crashing lately.
2024-09-30,user_83,SonyLIV has the best collection of shows.
2024-05-01,user_84,Netflix app keeps crashing lately.
2024-10-10,user_85,I might unsubscribe from SonyLIV soon.
2024-01-03,user_86,Buffering issues on Netflix all the time.
2024-04-22,user_87,SonyLIV has the best collection of shows.
2024-01-25,user_88,Netflix subscription cost is too high!
2024-06-23,user_89,I might unsubscribe from Prime Video soon.
2024-04-23,user_90,SonyLIV subscription cost is too high!
2024-10-18,user_91,Loved the new series on Netflix!
2024-06-13,user_92,"Too many ads on Prime Video, please fix."
2024-04-21,user_93,Loved the new series on Prime Video!
2024-06-17,user_94,Buffering issues on Netflix all the time.
2024-02-06,user_95,Loved the new series on SonyLIV!
2024-02-12,user_96,"Too many ads on SonyLIV, please fix."
2024-02-22,user_97,Buffering issues on SonyLIV all the time.
2024-02-16,user_98,I might unsubscribe from SonyLIV soon.
2024-03-23,user_99,I might unsubscribe from SonyLIV soon.
2024-06-18,user_100,I might unsubscribe from SonyLIV soon.
2024-09-03,user_101,Netflix app keeps crashing lately.
2024-03-04,user_102,I might unsubscribe from Prime Video soon.
2024-05-13,user_103,Hotstar app keeps crashing lately.
2024-05-16,user_104,"Too many ads on Hotstar, please fix."
2024-03-03,user_105,SonyLIV has the best collection of shows.
2024-09-15,user_106,Loved the new series on Prime Video!
2024-09-30,user_107,I might unsubscribe from SonyLIV soon.
2024-09-14,user_108,I might unsubscribe from Hotstar soon.
2024-10-15,user_109,The streaming on Netflix is so smooth!
2024-06-20,user_110,Hotstar has the best collection of shows.
2024-05-21,user_111,Buffering issues on SonyLIV all the time.
2024-10-24,user_112,I might unsubscribe from Hotstar soon.
2024-08-02,user_113,Loved the new series on Netflix!
2024-08-22,user_114,SonyLIV has the best collection of shows.
2024-01-29,user_115,Netflix app keeps crashing lately.
2024-06-18,user_116,The streaming on Netflix is so smooth!
2024-03-28,user_117,Buffering issues on SonyLIV all the time.
2024-06-12,user_118,Hotstar app keeps crashing lately.
2024-02-24,user_119,"Too many ads on Prime Video, please fix."
2024-01-28,user_120,"Too many ads on SonyLIV, please fix."
2024-03-28,user_121,Hotstar app keeps crashing lately.
2024-04-28,user_122,The streaming on Hotstar is so smooth!
2024-07-17,user_123,SonyLIV subscription cost is too high!
2024-04-09,user_124,"Too many ads on SonyLIV, please fix."
2024-02-19,user_125,Prime Video app keeps crashing lately.
2024-06-11,user_126,The streaming on Netflix is so smooth!
2024-07-25,user_127,Prime Video app keeps crashing lately.
2024-05-17,user_128,Prime Video app keeps crashing lately.
2024-04-22,user_129,I might unsubscribe from Hotstar soon.
2024-06-24,user_130,Buffering issues on Prime Video all the time.
2024-10-20,user_131,Buffering issues on Netflix all the time.
2024-05-19,user_132,Loved the new series on SonyLIV!
2024-10-04,user_133,"Too many ads on Prime Video, please fix."
2024-05-31,user_134,The streaming on SonyLIV is so smooth!
2024-06-11,user_135,Loved the new series on Hotstar!
2024-07-15,user_136,I might unsubscribe from Hotstar soon.
2024-08-02,user_137,Loved the new series on Hotstar!
2024-02-12,user_138,Hotstar subscription cost is too high!
2024-01-21,user_139,Loved the new series on SonyLIV!
2024-02-18,user_140,Loved the new series on Netflix!
2024-08-28,user_141,Prime Video has the best collection of shows.
2024-03-07,user_142,Buffering issues on Prime Video all the time.
2024-10-08,user_143,Hotstar app keeps crashing lately.
2024-04-26,user_144,Buffering issues on Hotstar all the time.
2024-06-16,user_145,Netflix subscription cost is too high!
2024-10-09,user_146,SonyLIV subscription cost is too high!
2024-09-08,user_147,Prime Video has the best collection of shows.
2024-08-01,user_148,Hotstar app keeps crashing lately.
2024-04-08,user_149,"Too many ads on Hotstar, please fix."
2024-06-30,user_150,Prime Video subscription cost is too high!
2024-06-30,user_151,Buffering issues on Prime Video all the time.
2024-09-05,user_152,Prime Video subscription cost is too high!
2024-09-14,user_153,Prime Video app keeps crashing lately.
2024-05-24,user_154,Netflix subscription cost is too high!
2024-02-12,user_155,Hotstar has the best collection of shows.
2024-05-12,user_156,"Too many ads on Netflix, please fix."
2024-10-12,user_157,Netflix has the best collection of shows.
2024-08-03,user_158,"Too many ads on Netflix, please fix."
2024-07-20,user_159,Loved the new series on Prime Video!
2024-06-29,user_160,Buffering issues on Hotstar all the time.
2024-01-19,user_161,Buffering issues on Hotstar all the time.
2024-03-10,user_162,Hotstar subscription cost is too high!
2024-09-02,user_163,Loved the new series on Netflix!
2024-04-26,user_164,Netflix has the best collection of shows.
2024-02-20,user_165,Loved the new series on SonyLIV!
2024-07-07,user_166,The streaming on Hotstar is so smooth!
2024-03-01,user_167,Loved the new series on SonyLIV!
2024-06-30,user_168,Netflix app keeps crashing lately.
2024-02-15,user_169,The streaming on Netflix is so smooth!
2024-04-05,user_170,Prime Video subscription cost is too high!
2024-04-29,user_171,I might unsubscribe from Netflix soon.
2024-03-20,user_172,Prime Video app keeps crashing lately.
2024-07-16,user_173,Prime Video has the best collection of shows.
2024-08-16,user_174,Hotstar has the best collection of shows.
2024-01-26,user_175,Hotstar subscription cost is too high!
2024-08-22,user_176,I might unsubscribe from Prime Video soon.
2024-01-29,user_177,Prime Video subscription cost is too high!
2024-04-03,user_178,The streaming on Prime Video is so smooth!
2024-08-13,user_179,"Too many ads on Netflix, please fix."
2024-05-07,user_180,Loved the new series on Netflix!
2024-02-27,user_181,The streaming on Prime Video is so smooth!
2024-09-02,user_182,Netflix has the best collection of shows.
2024-01-09,user_183,Buffering issues on Hotstar all the time.
2024-04-25,user_184,The streaming on Hotstar is so smooth!
2024-08-12,user_185,Prime Video subscription cost is too high!
2024-03-13,user_186,The streaming on SonyLIV is so smooth!
2024-05-13,user_187,Loved the new series on Hotstar!
2024-04-30,user_188,Netflix has the best collection of shows.
2024-07-10,user_189,Loved the new series on Hotstar!
2024-01-20,user_190,"Too many ads on Hotstar, please fix."
2024-01-26,user_191,I might unsubscribe from Netflix soon.
2024-05-08,user_192,I might unsubscribe from Netflix soon.
2024-03-22,user_193,I might unsubscribe from Netflix soon.
2024-09-24,user_194,"Too many ads on Prime Video, please fix."
2024-09-08,user_195,I might unsubscribe from Hotstar soon.
2024-05-14,user_196,Netflix subscription cost is too high!
2024-07-02,user_197,SonyLIV app keeps crashing lately.
2024-10-05,user_198,Loved the new series on Netflix!
2024-08-22,user_199,Loved the new series on Hotstar!
2024-09-04,user_200,Hotstar has the best collection of shows.
2024-10-10,user_201,Loved the new series on Netflix!
2024-06-10,user_202,Buffering issues on Hotstar all the time.
2024-10-14,user_203,I might unsubscribe from SonyLIV soon.
2024-01-22,user_204,Loved the new series on Hotstar!
2024-09-09,user_205,Loved the new series on SonyLIV!
2024-05-15,user_206,The streaming on SonyLIV is so smooth!
2024-01-26,user_207,"Too many ads on Netflix, please fix."
2024-10-17,user_208,Buffering issues on Hotstar all the time.
2024-05-14,user_209,Buffering issues on Hotstar all the time.
2024-05-31,user_210,Prime Video app keeps crashing lately.
2024-08-24,user_211,The streaming on Hotstar is so smooth!
2024-04-15,user_212,Loved the new series on Hotstar!
2024-08-20,user_213,Netflix has the best collection of shows.
2024-08-08,user_214,SonyLIV app keeps crashing lately.
2024-07-12,user_215,The streaming on Netflix is so smooth!
2024-09-21,user_216,"Too many ads on Netflix, please fix."
2024-10-15,user_217,Buffering issues on Hotstar all the time.
2024-05-07,user_218,"Too many ads on Netflix, please fix."
2024-04-22,user_219,Prime Video subscription cost is too high!
2024-07-19,user_220,The streaming on Prime Video is so smooth!
2024-05-14,user_221,Loved the new series on Netflix!
2024-06-16,user_222,Loved the new series on Netflix!
2024-03-19,user_223,Hotstar has the best collection of shows.
2024-05-13,user_224,Prime Video has the best collection of shows.
2024-03-11,user_225,"Too many ads on Netflix, please fix."
2024-08-31,user_226,The streaming on Hotstar is so smooth!
2024-07-22,user_227,"Too many ads on Hotstar, please fix."
2024-01-09,user_228,Loved the new series on Prime Video!
2024-04-02,user_229,Buffering issues on Netflix all the time.
2024-06-23,user_230,"Too many ads on Hotstar, please fix."
2024-08-28,user_231,Buffering issues on Prime Video all the time.
2024-09-14,user_232,Buffering issues on SonyLIV all the time.
2024-05-22,user_233,Loved the new series on Prime Video!
2024-09-20,user_234,The streaming on Prime Video is so smooth!
2024-04-19,user_235,Buffering issues on Hotstar all the time.
2024-04-28,user_236,SonyLIV app keeps crashing lately.
2024-08-13,user_237,"Too many ads on SonyLIV, please fix."
2024-05-18,user_238,Buffering issues on Netflix all the time.
2024-02-06,user_239,Hotstar has the best collection of shows.
2024-02-12,user_240,"Too many ads on Hotstar, please fix."
2024-10-17,user_241,"Too many ads on Netflix, please fix."
2024-06-06,user_242,Buffering issues on Prime Video all the time.
2024-05-12,user_243,I might unsubscribe from SonyLIV soon.
2024-03-10,user_244,Hotstar has the best collection of shows.
2024-01-09,user_245,"Too many ads on SonyLIV, please fix."
2024-02-04,user_246,The streaming on SonyLIV is so smooth!
2024-02-05,user_247,I might unsubscribe from Hotstar soon.
2024-01-24,user_248,The streaming on Prime Video is so smooth!
2024-09-06,user_249,I might unsubscribe from Netflix soon.
2024-04-27,user_250,Netflix has the best collection of shows.
2024-05-04,user_251,"Too many ads on Netflix, please fix."
2024-10-25,user_252,I might unsubscribe from Hotstar soon.
2024-07-10,user_253,Prime Video subscription cost is too high!
2024-03-22,user_254,Hotstar app keeps crashing lately.
2024-01-04,user_255,Buffering issues on Netflix all the time.
2024-10-24,user_256,The streaming on SonyLIV is so smooth!
2024-03-27,user_257,Buffering issues on Hotstar all the time.
2024-05-11,user_258,Hotstar subscription cost is too high!
2024-06-24,user_259,Netflix subscription cost is too high!
2024-01-26,user_260,Netflix has the best collection of shows.
2024-01-07,user_261,Loved the new series on Prime Video!
2024-03-05,user_262,"Too many ads on SonyLIV, please fix."
2024-09-02,user_263,Hotstar has the best collection of shows.
2024-05-22,user_264,Netflix has the best collection of shows.
2024-06-04,user_265,Buffering issues on Netflix all the time.
2024-06-19,user_266,Buffering issues on Hotstar all the time.
2024-02-29,user_267,Hotstar app keeps crashing lately.
2024-07-04,user_268,Loved the new series on Netflix!
2024-04-19,user_269,SonyLIV has the best collection of shows.
2024-03-05,user_270,SonyLIV app keeps crashing lately.
2024-04-25,user_271,I might unsubscribe from SonyLIV soon.
2024-04-28,user_272,Buffering issues on Prime Video all the time.
2024-02-08,user_273,The streaming on Hotstar is so smooth!
2024-06-12,user_274,Netflix subscription cost is too high!
2024-08-30,user_275,I might unsubscribe from Prime Video soon.
2024-09-13,user_276,"Too many ads on SonyLIV, please fix."
2024-06-15,user_277,Loved the new series on Prime Video!
2024-07-10,user_278,I might unsubscribe from Hotstar soon.
2024-06-12,user_279,Loved the new series on Netflix!
2024-10-23,user_280,Loved the new series on Netflix!
2024-09-18,user_281,Hotstar has the best collection of shows.
2024-03-21,user_282,"Too many ads on SonyLIV, please fix."
2024-04-03,user_283,Prime Video app keeps crashing lately.
2024-03-10,user_284,SonyLIV has the best collection of shows.
2024-06-21,user_285,"Too many ads on Netflix, please fix."
2024-09-15,user_286,Buffering issues on Netflix all the time.
2024-09-25,user_287,Loved the new series on Netflix!
2024-07-27,user_288,Buffering issues on Netflix all the time.
2024-07-22,user_289,SonyLIV subscription cost is too high!
2024-08-30,user_290,SonyLIV app keeps crashing lately.
2024-08-14,user_291,SonyLIV has the best collection of shows.
2024-06-04,user_292,Prime Video subscription cost is too high!
2024-03-10,user_293,Netflix subscription cost is too high!
2024-10-01,user_294,Loved the new series on Hotstar!
2024-05-03,user_295,Loved the new series on Hotstar!
2024-02-05,user_296,Hotstar has the best collection of shows.
2024-10-20,user_297,Prime Video has the best collection of shows.
2024-05-30,user_298,"Too many ads on SonyLIV, please fix."
2024-05-13,user_299,Prime Video subscription cost is too high!
2024-06-26,user_300,The streaming on Netflix is so smooth!
2024-02-17,user_301,Netflix subscription cost is too high!
2024-07-04,user_302,The streaming on Prime Video is so smooth!
2024-07-17,user_303,"Too many ads on SonyLIV, please fix."
2024-01-05,user_304,I might unsubscribe from Prime Video soon.
2024-08-27,user_305,Buffering issues on SonyLIV all the time.
2024-03-02,user_306,Loved the new series on Netflix!
2024-08-25,user_307,SonyLIV subscription cost is too high!
2024-05-23,user_308,Loved the new series on Prime Video!
2024-07-08,user_309,I might unsubscribe from SonyLIV soon.
2024-09-08,user_310,The streaming on Prime Video is so smooth!
2024-10-07,user_311,Loved the new series on Hotstar!
2024-07-23,user_312,The streaming on Hotstar is so smooth!
2024-10-11,user_313,SonyLIV has the best collection of shows.
2024-08-05,user_314,Netflix subscription cost is too high!
2024-07-09,user_315,Loved the new series on Netflix!
2024-02-13,user_316,"Too many ads on Prime Video, please fix."
2024-04-23,user_317,The streaming on SonyLIV is so smooth!
2024-10-01,user_318,SonyLIV has the best collection of shows.
2024-08-18,user_319,The streaming on SonyLIV is so smooth!
2024-10-09,user_320,Loved the new series on Hotstar!
2024-02-29,user_321,SonyLIV app keeps crashing lately.
2024-07-24,user_322,Prime Video has the best collection of shows.
2024-01-23,user_323,Buffering issues on Netflix all the time.
2024-02-18,user_324,SonyLIV subscription cost is too high!
2024-01-24,user_325,"Too many ads on SonyLIV, please fix."
2024-02-07,user_326,Hotstar subscription cost is too high!
2024-08-07,user_327,I might unsubscribe from Prime Video soon.
2024-09-08,user_328,"Too many ads on Hotstar, please fix."
2024-05-03,user_329,Hotstar app keeps crashing lately.
2024-06-17,user_330,Loved the new series on SonyLIV!
2024-10-02,user_331,I might unsubscribe from SonyLIV soon.
2024-05-22,user_332,Hotstar has the best collection of shows.
2024-08-05,user_333,Netflix app keeps crashing lately.
2024-08-03,user_334,"Too many ads on Prime Video, please fix."
2024-01-08,user_335,Loved the new series on Prime Video!
2024-04-06,user_336,I might unsubscribe from Netflix soon.
2024-07-17,user_337,"Too many ads on Prime Video, please fix."
2024-05-01,user_338,Netflix has the best collection of shows.
2024-07-28,user_339,Buffering issues on Prime Video all the time.
2024-03-14,user_340,I might unsubscribe from Prime Video soon.
2024-07-28,user_341,"Too many ads on SonyLIV, please fix."
2024-06-30,user_342,Hotstar has the best collection of shows.
2024-01-21,user_343,"Too many ads on SonyLIV, please fix."
2024-05-21,user_344,"Too many ads on Netflix, please fix."
2024-02-12,user_345,"Too many ads on Netflix, please fix."
2024-03-27,user_346,"Too many ads on Hotstar, please fix."
2024-07-01,user_347,Netflix has the best collection of shows.
2024-06-18,user_348,Hotstar subscription cost is too high!
2024-05-15,user_349,"Too many ads on Netflix, please fix."
2024-08-08,user_350,Buffering issues on SonyLIV all the time.
2024-05-02,user_351,I might unsubscribe from Prime Video soon.
2024-03-16,user_352,The streaming on Netflix is so smooth!
2024-10-12,user_353,SonyLIV has the best collection of shows.
2024-03-20,user_354,Loved the new series on Prime Video!
2024-09-29,user_355,Netflix subscription cost is too high!
2024-04-23,user_356,Netflix app keeps crashing lately.
2024-09-13,user_357,Prime Video app keeps crashing lately.
2024-05-18,user_358,Buffering issues on Prime Video all the time.
2024-06-29,user_359,Prime Video has the best collection of shows.
2024-10-12,user_360,Loved the new series on Prime Video!
2024-07-15,user_361,I might unsubscribe from Prime Video soon.
2024-01-11,user_362,Hotstar app keeps crashing lately.
2024-02-20,user_363,Buffering issues on Netflix all the time.
2024-02-17,user_364,Hotstar app keeps crashing lately.
2024-01-17,user_365,Hotstar subscription cost is too high!
2024-06-05,user_366,Netflix has the best collection of shows.
2024-01-14,user_367,Hotstar app keeps crashing lately.
2024-09-06,user_368,"Too many ads on Netflix, please fix."
2024-08-27,user_369,"Too many ads on Netflix, please fix."
2024-04-02,user_370,I might unsubscribe from SonyLIV soon.
2024-05-10,user_371,The streaming on Netflix is so smooth!
2024-02-23,user_372,Netflix app keeps crashing lately.
2024-06-18,user_373,Prime Video subscription cost is too high!
2024-01-03,user_374,Buffering issues on Prime Video all the time.
2024-07-10,user_375,I might unsubscribe from Hotstar soon.
2024-09-21,user_376,The streaming on Netflix is so smooth!
2024-05-03,user_377,Hotstar subscription cost is too high!
2024-03-20,user_378,Loved the new series on Hotstar!
2024-07-08,user_379,Prime Video has the best collection of shows.
2024-06-27,user_380,Hotstar subscription cost is too high!
2024-06-09,user_381,"Too many ads on Netflix, please fix."
2024-03-24,user_382,Netflix subscription cost is too high!
2024-05-30,user_383,Netflix has the best collection of shows.
2024-10-10,user_384,Loved the new series on Hotstar!
2024-08-30,user_385,I might unsubscribe from Prime Video soon.
2024-03-29,user_386,Hotstar subscription cost is too high!
2024-10-17,user_387,Hotstar app keeps crashing lately.
2024-05-21,user_388,Netflix subscription cost is too high!
2024-07-24,user_389,The streaming on Hotstar is so smooth!
2024-06-12,user_390,"Too many ads on Netflix, please fix."
2024-06-24,user_391,Prime Video app keeps crashing lately.
2024-08-06,user_392,The streaming on Prime Video is so smooth!
2024-08-30,user_393,Buffering issues on Netflix all the time.
2024-05-07,user_394,Netflix subscription cost is too high!
2024-06-14,user_395,Hotstar subscription cost is too high!
2024-06-30,user_396,I might unsubscribe from Netflix soon.
2024-05-06,user_397,"Too many ads on Prime Video, please fix."
2024-06-11,user_398,Netflix subscription cost is too high!
2024-06-19,user_399,Netflix app keeps crashing lately.
2024-10-26,user_400,The streaming on Prime Video is so smooth!
2024-10-21,user_401,"Too many ads on Hotstar, please fix."
2024-09-01,user_402,I might unsubscribe from Hotstar soon.
2024-08-16,user_403,"Too many ads on Hotstar, please fix."
2024-10-20,user_404,Buffering issues on Prime Video all the time.
2024-07-13,user_405,I might unsubscribe from Netflix soon.
2024-04-21,user_406,Prime Video subscription cost is too high!
2024-01-30,user_407,Buffering issues on Netflix all the time.
2024-07-28,user_408,Buffering issues on Hotstar all the time.
2024-01-22,user_409,Buffering issues on Hotstar all the time.
2024-04-09,user_410,Loved the new series on Netflix!
2024-02-12,user_411,The streaming on Netflix is so smooth!
2024-02-22,user_412,I might unsubscribe from Prime Video soon.
2024-08-12,user_413,"Too many ads on Hotstar, please fix."
2024-02-01,user_414,Prime Video has the best collection of shows.
2024-10-20,user_415,"Too many ads on Prime Video, please fix."
2024-03-15,user_416,"Too many ads on Netflix, please fix."
2024-01-18,user_417,Buffering issues on Prime Video all the time.
2024-06-24,user_418,Buffering issues on Hotstar all the time.
2024-01-15,user_419,Prime Video app keeps crashing lately.
2024-10-22,user_420,Buffering issues on Netflix all the time.
2024-08-03,user_421,I might unsubscribe from Prime Video soon.
2024-03-25,user_422,"Too many ads on Hotstar, please fix."
2024-03-31,user_423,"Too many ads on Hotstar, please fix."
2024-05-01,user_424,SonyLIV has the best collection of shows.
2024-03-20,user_425,"Too many ads on Hotstar, please fix."
2024-08-31,user_426,Netflix subscription cost is too high!
2024-05-01,user_427,"Too many ads on Netflix, please fix."
2024-06-16,user_428,Hotstar has the best collection of shows.
2024-03-28,user_429,Netflix has the best collection of shows.
2024-02-19,user_430,"Too many ads on Netflix, please fix."
2024-07-21,user_431,Hotstar subscription cost is too high!
2024-08-06,user_432,I might unsubscribe from Prime Video soon.
2024-10-17,user_433,Loved the new series on Prime Video!
2024-09-11,user_434,SonyLIV subscription cost is too high!
2024-05-24,user_435,Hotstar has the best collection of shows.
2024-01-05,user_436,Netflix app keeps crashing lately.
2024-08-07,user_437,Loved the new series on Hotstar!
2024-09-27,user_438,I might unsubscribe from Netflix soon.
2024-08-15,user_439,Prime Video has the best collection of shows.
2024-05-25,user_440,I might unsubscribe from Netflix soon.
2024-10-17,user_441,Loved the new series on Prime Video!
2024-06-09,user_442,The streaming on SonyLIV is so smooth!
2024-04-06,user_443,I might unsubscribe from Hotstar soon.
2024-09-25,user_444,The streaming on SonyLIV is so smooth!
2024-09-02,user_445,The streaming on Prime Video is so smooth!
2024-07-05,user_446,Loved the new series on Hotstar!
2024-03-15,user_447,The streaming on Netflix is so smooth!
2024-02-09,user_448,SonyLIV app keeps crashing lately.
2024-06-24,user_449,I might unsubscribe from Netflix soon.
2024-05-29,user_450,Netflix subscription cost is too high!
2024-08-10,user_451,Netflix app keeps crashing lately.
2024-06-10,user_452,Netflix has the best collection of shows.
2024-07-14,user_453,"Too many ads on Hotstar, please fix."
2024-07-25,user_454,Netflix subscription cost is too high!
2024-01-17,user_455,I might unsubscribe from Hotstar soon.
2024-04-03,user_456,I might unsubscribe from Hotstar soon.
2024-06-09,user_457,"Too many ads on SonyLIV, please fix."
2024-08-22,user_458,The streaming on Netflix is so smooth!
2024-03-27,user_459,Netflix has the best collection of shows.
2024-10-16,user_460,Buffering issues on SonyLIV all the time.
2024-08-02,user_461,Loved the new series on Netflix!
2024-10-16,user_462,Loved the new series on Prime Video!
2024-07-13,user_463,I might unsubscribe from Prime Video soon.
2024-01-11,user_464,The streaming on Hotstar is so smooth!
2024-05-25,user_465,I might unsubscribe from Prime Video soon.
2024-05-30,user_466,Buffering issues on Prime Video all the time.
2024-02-18,user_467,"Too many ads on Hotstar, please fix."
2024-09-30,user_468,Buffering issues on Prime Video all the time.
2024-01-24,user_469,Netflix subscription cost is too high!
2024-07-22,user_470,Prime Video subscription cost is too high!
2024-08-13,user_471,Hotstar app keeps crashing lately.
2024-04-11,user_472,I might unsubscribe from SonyLIV soon.
2024-09-08,user_473,The streaming on Hotstar is so smooth!
2024-09-17,user_474,Netflix has the best collection of shows.
2024-10-12,user_475,Prime Video app keeps crashing lately.
2024-05-17,user_476,Buffering issues on Prime Video all the time.
2024-06-25,user_477,Netflix subscription cost is too high!
2024-03-28,user_478,SonyLIV app keeps crashing lately.
2024-02-08,user_479,Buffering issues on Netflix all the time.
2024-09-30,user_480,Netflix subscription cost is too high!
2024-01-09,user_481,Prime Video has the best collection of shows.
2024-07-19,user_482,The streaming on Netflix is so smooth!
2024-04-05,user_483,Prime Video app keeps crashing lately.
2024-03-27,user_484,Prime Video subscription cost is too high!
2024-04-12,user_485,Buffering issues on Netflix all the time.
2024-09-02,user_486,I might unsubscribe from Prime Video soon.
2024-02-13,user_487,"Too many ads on Netflix, please fix."
2024-10-19,user_488,Prime Video has the best collection of shows.
2024-04-26,user_489,The streaming on SonyLIV is so smooth!
2024-07-18,user_490,SonyLIV app keeps crashing lately.
2024-04-02,user_491,Loved the new series on Hotstar!
2024-04-27,user_492,I might unsubscribe from SonyLIV soon.
2024-09-28,user_493,Loved the new series on Hotstar!
2024-10-22,user_494,Hotstar has the best collection of shows.
2024-06-10,user_495,Netflix subscription cost is too high!
2024-02-11,user_496,SonyLIV has the best collection of shows.
2024-02-16,user_497,Buffering issues on Prime Video all the time.
2024-09-30,user_498,Netflix has the best collection of shows.
2024-05-24,user_499,Hotstar app keeps crashing lately.
